mu,shape
0.00046729,0.935531136
0.011214953,0.939194139
0.022897196,0.945787546
0.035046729,0.953113553
0.048598131,0.95970696
0.061214953,0.964835165
0.074299065,0.968498168
0.087850467,0.972161172
0.100934579,0.975091575
0.114018692,0.977289377
0.127102804,0.98021978
0.140654206,0.982051282
0.154205607,0.983882784
0.16728972,0.985347985
0.180373832,0.986813187
0.193457944,0.988278388
0.207009346,0.98974359
0.220560748,0.99047619
0.23411215,0.991208791
0.247196262,0.991941392
0.260280374,0.992673993
0.273831776,0.993406593
0.287383178,0.994139194
0.30046729,0.994871795
0.314018692,0.994871795
0.327102804,0.995604396
0.340654206,0.996336996
0.353738318,0.996336996
0.36728972,0.997069597
0.380373832,0.997069597
0.393925234,0.997069597
0.407009346,0.997069597
0.420093458,0.997802198
0.43411215,0.997802198
0.447196262,0.997802198
0.460747664,0.998534799
0.474299065,0.998534799
0.487850467,0.998534799
0.500934579,0.998534799
0.514018692,0.998901099
0.527102804,0.999267399
0.540186916,0.999267399
0.553738318,1
0.567757009,1
0.580841121,1
0.594392523,1
0.59953271,1
0.6,1
0.7,1
0.8,1
0.9,1
1,1
